purpose,priority
"УСН ПЛАТЕЖ 49361, ИНН 668820321326",3
Компенсация морального вреда по решению суда 63569 без НДС (основание: договор 248),1
Срочный: Платежное поручение на налог на прибыль 20596 от 10.02.2025,3
Компенсация морального вреда по решению суда 64851,1
ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОФИСА 14860 Темно-бирюзовый,5
Срочный: Оплата командировочных расходов 69248 (СОГАЗ),5
Налог на имущество организаций 84447 Темно-зеленый,3
"Компенсация морального вреда по решению суда 13355, ИНН 765370020491 (РАО «Федорова») с НДС",1
Платеж за проведение тренинга 89647 без НДС Светло-зеленый,5
Возврат по акту в том числе НДС,5
"Таможенные перечислениеи по декларации 40206 Зеленый, ИНН 776386602779",3
Платеж за проведение тренинга 36800 от 25.09.2024,5
Доплата по контракту ЗАО «Моисеева Лукин» БИК 432941853,5
Возмещение ущерба здоровью по исп. листу 90062 (основание: договор 620),1
"Компенсация морального вреда по решению суда 77306, ИНН 339695146108 (основание: договор 764)",1
Срочный: Возврат займа контрагенту 13093 (основание: договор 736),5
Налог на имущество организаций 12076 (основание: договор 226),3
"Срочный: Перечисление средств по исп. документу 890 о возмещении вреда жизни, ИНН 706284577866",1
Срочный: Перечисление за программное обеспечение 9433,5
"ПЕРЕЧИСЛЕНИЕ ЗА ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ 63555, ИНН 743756785861",5
Перечисление средств по исп. документу 65962 о возмещении вреда жизни от 25.07.2024 от 08.06.2024,1
Оплата банковских услуг 67633,5
ЕНВД за отчетный период 65163 (Казаков Лтд) (Метафракс),3
Срочный: Оплата услуг связи по договору 42107,5
Платежное поручение на налог на прибыль 39340 (основание: договор 270),3
Компенсация морального вреда по решению суда 87626 без НДС без НДС (РКК Энергия),1
"Срочный: Оплата командировочных расходов 70309, ИНН 455821890813 (основание: договор 114)",5
Платежное поручение на налог на прибыль 11269 Тусклый серый,3
ПЛАТЕЖ ПО СТРАХОВОМУ СЛУЧАЮ 53613 (ВРЕД ЗДОРОВЬЮ),1
Уплата транспортного налога 48424 (основание: договор 270) (основание: договор 944),3
"Срочный: Платеж за поставку канцтоваров 29798, ИНН 120956781652",5
Срочный: Таможенные платежи по декларации 75460 от 15.07.2024 от 02.12.2024,3
Платеж за поставку канцтоваров 48155 (ЗАО «Королева Фролов») с НДС,5
Срочный: Взыскание алиментов по исп. листу 62032,1
"Страховые взносы в ПФР по квитанции 17694, ИНН 427068737681",3
Перечисление за аренду оборудования 62516 с НДС,5
"Водный налог 89738, ИНН 126654260195 (Кошелева и партнеры)",3
Исполнительный лист №70682 о возмещении вреда здоровью,1
"Перечисление за программное обеспечение 84884, ИНН 921323740665",5
"Платеж за поставку канцтоваров 87483 с НДС, ИНН 241612397067",5
"Перечисление за аренду оборудования 79756, ИНН 688674385728 с НДС",5
Срочный: Оплата командировочных расходов 75048 Шоколадный,5
УПЛАТА ТРАНСПОРТНОГО НАЛОГА 11689 (ОСНОВАНИЕ: ДОГОВОР 807) (основание: договор 902),3
Платеж за поставку канцтоваров 43489 с НДС (НПО «Петров») (основание: договор 199),5
Оплата командировочных расходов 36258 (Компания Металл Профиль) (основание: договор 107),5
"Платежное поручение на налог на прибыль 11770 (основание: договор 950), ИНН 767667019379, ИНН 249570810992",3
Оплата по заказу БИК 699743592 КПП 590950323,5
Компенсация по контракту КПП 690501047 ИНН 931954369668,5
ПЛАТЕЖ ЗА УБОРКУ ПОМЕЩЕНИЙ 50991,5
ЕНВД за отчетный период 92850 (НПО «Кулагин») Цвет морской волны,3
ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОФИСА 55776 БЕЗ НДС (ОСНОВАНИЕ: ДОГОВОР 258),5
Оплата командировочных расходов 74282 (Брагина Лимитед) с НДС,5
Благотворительное пожертвование 45345 Пурпурный (основание: договор 658),5
Таможенные платежи по декларации 4008 от 14.10.2024,3
Перечисление средств по исп. документу 73033 о возмещении вреда жизни Сливовый (АО «Ситников Фомичев»),1
"Срочный: Таможенные платежи по декларации 44117 (ОАО «Давыдова, Кузнецова и Шестаков»), ИНН 534126286108",3
Возмещение ущерба здоровью по исп. листу 15377 (основание: договор 266),1
Оплата хостинга за Июль 1330 с НДС,5
НДС за 2 квартал 2023 55604 Зеленый,3
Платеж по страховому случаю 41432 (вред здоровью) (основание: договор 452),1
ПЛАТЕЖ ЗА УБОРКУ ПОМЕЩЕНИЙ 11246,5
Медицинская компенсация по судебному решению 6217 с НДС,1
Платеж за уборку помещений 29231 (основание: договор 878) от 25.11.2024,5
"Срочный: Платеж за уборку помещений 39305, ИНН 660677206757 (НПО «Вишнякова, Беспалов и Рыбакова»)",5
"Оплата банковских услуг 48159 от 28.10.2024, ИНН 218948737739 Темный хаки",5
Оплата услуг охраны 49382 (Филатов Лтд),5
Платеж за юридические услуги 24020 Синий от 09.02.2025 (ЗАО «Сидоров»),5
Оплата банковских услуг 62846 Светло-серый,5
Платеж по выставленному счету 87670 с НДС,5
"Страховые взносы в ПФР по квитанции 62408, ИНН 342390049202",3
ОПЛАТА КОМАНДИРОВОЧНЫХ РАСХОДОВ 89190,5
Оплата рекламных услуг 92736 Ярко-розовый с НДС от 17.03.2025,5
ФСС: взносы на травматизм 84500 Коралловый,3
Возмещение ущерба здоровью по исп. листу 25181 без НДС (НПО «Молчанов-Федорова»),1
ОПЛАТА КОМАНДИРОВОЧНЫХ РАСХОДОВ 40694 без НДС,5
Оплата командировочных расходов 76103 Фуксия с НДС,5
"ИСПОЛНИТЕЛЬНОЕ ПРОИЗВОДСТВО 54488 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ, ИНН 524054212706, ИНН 506064475852",1
Платежное поручение на налог на прибыль 97125,3
Оплата банковских услуг 51606,5
Перечисление НДФЛ за сотрудников по перечислениеке 61126 от 16.12.2024,3
"Срочный: Страховые взносы в ПФР по квитанции 40627, ИНН 364192515614 (основание: договор 947)",3
ПЕРЕЧИСЛЕНИЕ НДФЛ ЗА СОТРУДНИКОВ ПО ПЛАТЕЖКЕ 64259 от 02.02.2025,3
Исполнительный лист №97841 о возмещении вреда здоровью от 27.05.2025,1
Налоговый платеж в бюджет РФ №56278 (основание: договор 662),3
Платеж за юридические услуги 66112 (основание: договор 789) от 24.03.2025,5
"ОПЛАТА РЕКЛАМНЫХ УСЛУГ 16635, ИНН 839955731841",5
Оплата рекламных услуг 74980,5
Срочный: Компенсация морального вреда по решению суда 82655 от 07.08.2024 Светло-зеленый,1
УСН ПЛАТЕЖ 22265,3
"Срочный: Перечисление за программное обеспечение 23270 (основание: договор 793), ИНН 386206670402",5
ИСПОЛНИТЕЛЬНЫЙ ЛИСТ №47866 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ (НПО «АГАФОНОВА-БЛИНОВА»),1
Срочный: Перечисление за аренду офиса 28221 Светло-желтый (основание: договор 239),5
СРОЧНЫЙ: ПЛАТЕЖ ЗА УБОРКУ ПОМЕЩЕНИЙ 57708 РОЗОВЫЙ,5
"Благотворительное пожертвование 81552 (АО «Якушев, Елисеева и Пестов») от 27.12.2024 (основание: договор 920)",5
Срочный: Перечисление за аренду офиса 13309 Хаки,5
"Исполнительный лист №97742 о возмещении вреда здоровью, ИНН 913912817330",1
Налоговый платеж в бюджет РФ №7079 (основание: договор 914) с НДС (основание: договор 451),3
Оплата командировочных расходов 70542 (основание: договор 609) (основание: договор 415) (основание: договор 475),5
Перечисление НДФЛ за сотрудников по платежке 42128 (Газпром),3
Возврат по соглашению 05.10.2024 БИК 569728969,3
"Оплата услуг связи по договору 39574 (Инвестнефтетрейд) (АО «Максимов Носов»), ИНН 568925345226",5
Таможенные платежи по декларации 16888 (Ачимгаз),3
Перечисление за аренду офиса 91919 Черный (основание: договор 652),5
Премия по заказу без НДС в соответствии с договором,5
Платежное поручение на налог на прибыль 31591 Античный Белый Красный,3
НАЛОГ НА ИМУЩЕСТВО ОРГАНИЗАЦИЙ 69555 (МЕГАФОН) от 20.12.2024,3
Платежное поручение на налог на прибыль 88490 Васильковый,3
ПЕНСИОННЫЕ ВЗНОСЫ ЗА ИЮЛЬ 2023 28782,3
Срочный: Медицинская компенсация по судебному решению 11416 Желтый (основание: договор 156),1
Платеж по страховому случаю 49368 (вред здоровью) (РАО «Соловьева»),1
ОПЛАТА УСЛУГ СВЯЗИ ПО ДОГОВОРУ 42325,5
"Платеж за уборку помещений 12756, ИНН 616394784628 без НДС",5
Аванс за работу БИК 300837500 с НДС,1
"Срочный: УСН перечисление 36077, ИНН 426075524161",3
"Возмещение ущерба здоровью по исп. листу 79778, ИНН 705332545790 от 25.03.2025",1
Налоговый платеж в бюджет РФ №90733 от 05.04.2025,3
Срочный: Срочный: ИСПОЛНИТЕЛЬНЫЙ ЛИСТ №35447 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ,1
Налог на имущество организаций 97734 от 24.02.2025 без НДС,3
Оплата рекламных услуг 86094 Слоновая кость (основание: договор 792),5
Платеж за поставку канцтоваров 82177 от 28.09.2024 с НДС,5
"Срочный: Перечисление средств по исп. документу 51378 о возмещении вреда жизни, ИНН 454847597481 без НДС",1
НАЛОГОВЫЙ ПЛАТЕЖ В БЮДЖЕТ РФ №32742 ОТ 25.01.2025,3
Благотворительное пожертвование 43966 (ЗАО «Владимирова Жданова»),5
Срочный: Возмещение ущерба здоровью по исп. листу 7248 от 24.11.2024,1
Налог на имущество организаций 54936 (ОАО «Бурова»),3
Уплата транспортного налога 67851 Тусклый серый от 31.10.2024 без НДС,3
НДС за 2 квартал 2023 93130 без НДС от 04.05.2025,3
ОПЛАТА РЕКЛАМНЫХ УСЛУГ 51188 ОТ 08.03.2025,5
Оплата услуг охраны 95592 без НДС Малиновый,5
Оплата услуг связи по договору 65376 (основание: договор 845),5
Платеж за проведение тренинга 45781,5
"Оплата банковских услуг 80675, ИНН 190592252417 от 15.10.2024",5
Срочный: Платеж за проведение тренинга 37867,5
Взыскание алиментов по исп. листу 95206 с НДС,1
Земельный налог 19388 (основание: договор 483),3
"УСН платеж 96145, ИНН 533247558897 (Р-Фарм)",3
Срочный: Платеж за юридические услуги 58509,5
ТАМОЖЕННЫЕ ПЛАТЕЖИ ПО ДЕКЛАРАЦИИ 61840,3
Оплата рекламных услуг 53488 (основание: договор 447) от 26.01.2025,5
Срочный: Взыскание алиментов по исп. листу 39113,1
"Медицинская компенсация по судебному решению 98784 без НДС (ЗАО «Назаров»), ИНН 922073055800",1
Платеж за поставку канцтоваров 21771 от 19.09.2024 (основание: договор 254),5
Страховые взносы в ПФР по квитанции 94883 Красный (РАО «Козлов»),3
"Оплата хостинга за Июль 56, ИНН 566351296740 Темно-серый (основание: договор 274)",5
Оплата услуг связи по договору 41153 с НДС (Globaltrans),5
Срочный: Оплата рекламных услуг 81259 (Калашников и партнеры),5
Срочный: Срочный: Платеж за поставку канцтоваров 64395,5
"НДС за 2 квартал 2023 10324 от 09.05.2025, ИНН 619520554315",3
Перечисление за аренду офиса 28692 Светло-голубой,5
Срочный: Налоговый платеж в бюджет РФ №86615 с НДС от 09.07.2024,3
Срочный: УСН платеж 5443,3
Земельный налог 63818 Коричневый (основание: договор 652) от 17.03.2025,3
СРОЧНЫЙ: СТРАХОВЫЕ ВЗНОСЫ В ПФР ПО КВИТАНЦИИ 58695,3
Срочный: Перечисление за аренду оборудования 82492,5
Вознаграждение по соглашению в соответствии с договором БИК 326192019,5
Срочный: Налоговый перечисление в бюджет РФ №57546,3
Взыскание алиментов по исп. листу 30457 (НПО «Архипов») без НДС (основание: договор 871),1
Благотворительное пожертвование 7383,5
ПЛАТЕЖ ЗА ПОСТАВКУ КАНЦТОВАРОВ 42306,5
"Оплата по выставленному счету ИП «Архипова, Калинин и Миронова» срочно",1
Оплата услуг охраны 30106 без НДС,5
"Пенсионные взносы за Июль 2023 52643, ИНН 552845302561",3
Взыскание алиментов по исп. листу 12491 (основание: договор 678) от 02.10.2024 от 24.02.2025,1
Доплата по акту ИНН 834525946643 в соответствии с договором,1
Налоговый платеж в бюджет РФ №69273 от 02.11.2024 с НДС,3
Оплата услуг охраны 18952 (основание: договор 221),5
ПЛАТЕЖ ЗА УБОРКУ ПОМЕЩЕНИЙ 50925,5
ВОЗВРАТ ЗАЙМА КОНТРАГЕНТУ 7188,5
Срочный: Перечисление за аренду оборудования 59409 Зеленый (основание: договор 974),5
ЕНВД ЗА ОТЧЕТНЫЙ ПЕРИОД 92241,3
ПЛАТЕЖ ЗА ПРОВЕДЕНИЕ ТРЕНИНГА 3197 ОТ 29.12.2024 (основание: договор 950),5
ИСПОЛНИТЕЛЬНЫЙ ЛИСТ №87161 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ (ГРУППА КОМПАНИЙ ПИОНЕР),1
ОПЛАТА РЕКЛАМНЫХ УСЛУГ 47729 БЕЗ НДС,5
БЛАГОТВОРИТЕЛЬНОЕ ПОЖЕРТВОВАНИЕ 62754,5
"Исполнительный лист №11923 о возмещении вреда здоровью, ИНН 735947008079",1
"Оплата услуг охраны 16554, ИНН 414508254875 с НДС",5
Срочный: Перечисление средств по исп. документу 7976 о возмещении вреда жизни (основание: договор 534),1
Оплата хостинга за Июль 83075 с НДС от 22.04.2025,5
Перечисление средств по исп. документу 64508 о возмещении вреда жизни от 22.05.2025,1
ПЕНСИОННЫЕ ВЗНОСЫ ЗА ИЮЛЬ 2023 60868 от 14.07.2024,3
"НДС за 2 квартал 2023 42605, ИНН 649654049736",3
Страховые взносы в ПФР по квитанции 88830 с НДС,3
НАЛОГОВЫЙ ПЛАТЕЖ В БЮДЖЕТ РФ №51066 С НДС,3
ФСС: отчисления на травматизм 40016,3
"Срочный: Платеж за юридические услуги 38442, ИНН 350206793093 от 22.12.2024",5
Срочный: Исполнительный лист номер 54384 о возмещении вреда здоровью с НДС Хаки,1
Медицинская компенсация по судебному решению 93606 (НПО «Иванов Ширяев»),1
Оплата командировочных расходов 58877 Темно-фиолетовый без НДС,5
"Оплата банковских услуг 36871, ИНН 827010593763",5
"Срочный: Перечисление за аренду офиса 44858, ИНН 500743228524",5
Срочный: ЕНВД ЗА ОТЧЕТНЫЙ ПЕРИОД 27599,3
Аванс за услуги БИК 281765206 КПП 899924293,5
Взыскание алиментов по исп. листу 12962 (основание: договор 938),1
Водный налог 40314 от 20.04.2025,3
"Исполнительное производство 40532 о возмещении вреда здоровью от 12.12.2024, ИНН 773491967989 (ИП «Зиновьева, Ситникова и Костина»)",1
ФСС: взносы на травматизм 3768 Сине-фиолетовый без НДС от 21.03.2025,3
"Перечисление за аренду офиса 41556, ИНН 320846113345",5
Таможенные перечислениеи по декларации 69228 от 07.06.2024,3
Страховые взносы в ПФР по квитанции 88929 Темно-оранжевый,3
Платеж за юридические услуги 27122 с НДС,5
Исполнительное производство 50666 о возмещении вреда здоровью Фуксия,1
Срочный: Перечисление средств по исп. документу 4376 о возмещении вреда жизни Фуксия,1
Оплата хостинга за Июль 60482 с НДС от 08.12.2024,5
Срочный: Срочный: Перечисление за программное обеспечение 13303,5
Оплата услуг связи по договору 17726 (основание: договор 808) (основание: договор 110),5
ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОФИСА 3401 Черный,5
Срочный: Платеж за поставку канцтоваров 40081 (ИП «Савина Матвеев») (основание: договор 799),5
Платеж за проведение тренинга 43968 (Кузнецов Инк),5
Исполнительное производство 58323 о возмещении вреда здоровью с НДС от 17.10.2024 (основание: договор 224),1
Оплата услуг охраны 98413 от 25.04.2025,5
Платежное поручение на налог на прибыль 74464 (АО «Дементьев Третьякова»),3
Срочный: Платежное поручение на налог на прибыль 80422 (АНГК),3
"Оплата услуг охраны 66743 (ОАО «Журавлев») (ОАО «Кононов, Голубева и Григорьев»)",5
"Платеж за проведение тренинга 41929 Золотой (ООО «Горшков, Дорофеева и Юдин»)",5
Платеж за юридические услуги 92722 от 28.05.2025 с НДС,5
Платеж за юридические услуги 32377,5
ФСС: взносы на травматизм 50140 (Концерн Автоматика),3
Срочный: Перечисление за программное обеспечение 49366,5
Срочный: Перечисление за аренду офиса 36191,5
Доплата по заказу в том числе НДС,5
"ВОДНЫЙ НАЛОГ 28198, ИНН 851604424059 с НДС",3
"Перечисление НДФЛ за сотрудников по платежке 79980, ИНН 419357694509",3
Срочный: Компенсация морального вреда по решению суда 6581 (Афанасьева Инк),1
Срочный: Уплата транспортного налога 26384 с НДС от 09.04.2025,3
"Благотворительное пожертвование 42260, ИНН 446449840335",5
Взыскание алиментов по исп. листу 60157 от 11.05.2025,1
Срочный: Перечисление за аренду офиса 30458 (РАО «Боброва-Хохлов»),5
Пенсионные взносы за Июль 2023 42807 Бледно-Бирюзовый,3
"Срочный: Исполнительный лист №26353 о возмещении вреда здоровью, ИНН 366920225319",1
Перечисление за программное обеспечение 25388 Черный (основание: договор 920),5
УСН платеж 39630 (Кириллова и партнеры) от 31.03.2025 (основание: договор 713),3
Компенсация по акту КПП 157061315 в соответствии с договором,5
Оплата рекламных услуг 24187 с НДС (основание: договор 383),5
Исполнительный лист №92772 о возмещении вреда здоровью от 12.06.2024,1
Пенсионные взносы за Июль 2023 95056 Серый,3
Срочный: ОПЛАТА УСЛУГ ОХРАНЫ 56803,5
"Перечисление средств по исп. документу 59647 о возмещении вреда жизни от 30.09.2024 (ИП «Кудрявцев, Титова и Рыбаков»)",1
ТАМОЖЕННЫЕ ПЛАТЕЖИ ПО ДЕКЛАРАЦИИ 76223 СЛОНОВАЯ КОСТЬ (ОСНОВАНИЕ: ДОГОВОР 292),3
"Исполнительное производство 68504 о возмещении вреда здоровью, ИНН 969873626207 от 09.06.2024",1
Страховые взносы в ПФР по квитанции 22253 от 12.05.2025,3
Исполнительное производство 14131 о возмещении вреда здоровью с НДС без НДС с НДС,1
"Платеж за уборку помещений 69981 (ОАО «Мартынов, Якушев и Ершова»)",5
УПЛАТА ТРАНСПОРТНОГО НАЛОГА 90596 (БЛОХИНА И ПАРТНЕРЫ) (АО «Ершова Сафонов»),3
Компенсация морального вреда по решению суда 78232 с НДС,1
Возврат займа контрагенту 81412 (Уваров Групп),5
Оплата услуг связи по договору 62720 Темно-синий,5
"Возврат займа контрагенту 33662 Ярко-розовый, ИНН 769503085651",5
Компенсация морального вреда по решению суда 8453,1
"Земельный налог 52919, ИНН 583204398424",3
Срочный: Перечисление за программное обеспечение 63500 Светло-зеленый (основание: договор 311),5
Перевод средств по соглашению КПП 928060406 24.10.2024,5
Аванс по накладной БИК 268444612 неотложный платеж,3
Аванс по накладной с НДС неотложный платеж,5
Срочный: Платеж за уборку помещений 16297 без НДС (основание: договор 765),5
Уплата транспортного налога 65622 с НДС,3
ТАМОЖЕННЫЕ ПЛАТЕЖИ ПО ДЕКЛАРАЦИИ 52394 от 14.12.2024 (ИП «Гурьева»),3
Перечисление за аренду оборудования 84268 от 18.03.2025,5
ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОФИСА 46597 от 22.12.2024,5
ПЛАТЕЖ ЗА ПОСТАВКУ КАНЦТОВАРОВ 54737 Фуксия,5
ВОЗВРАТ ЗАЙМА КОНТРАГЕНТУ 30820 БЕЗ НДС,5
Платеж за поставку канцтоваров 17269 Оранжевый,5
Срочный: Срочный: Платеж по страховому случаю 16466 (вред здоровью),1
Срочный: Возврат займа контрагенту 75951 без НДС Лазурный,5
"Платеж за поставку канцтоваров 65517, ИНН 993494392370 (основание: договор 670)",5
Оплата командировочных расходов 55706,5
ВОДНЫЙ НАЛОГ 50058 от 04.07.2024,3
Таможенные перечислениеи по декларации 51086,3
"Оплата услуг связи по договору 40877, ИНН 718872489870",5
ЕНВД за отчетный период 99094 от 25.12.2024,3
Платеж за юридические услуги 31454 без НДС без НДС,5
"Перечисление средств по исп. документу 60989 о возмещении вреда жизни Зеленый (ОАО «Фролова, Шарапова и Зиновьев»)",1
Перечисление НДФЛ за сотрудников по платежке 73767 Пурпурный (основание: договор 990) Светло-серый,3
Платеж по страховому случаю 63431 (вред здоровью) Слоновая кость,1
Срочный: ЕНВД за отчетный период 56822,3
Оплата банковских услуг 22742,5
Перечисление за программное обеспечение 39228 с НДС,5
Срочный: Платеж за проведение тренинга 31640 с НДС,5
Возмещение ущерба здоровью по исп. листу 20093 без НДС Золотой,1
ОПЛАТА УСЛУГ СВЯЗИ ПО ДОГОВОРУ 30829 (основание: договор 204),5
ИСПОЛНИТЕЛЬНЫЙ ЛИСТ номер 47709 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ Светло-зеленый,1
Таможенные перечислениеи по декларации 57858,3
Срочный: Налоговый платеж в бюджет РФ №14861 (основание: договор 469),3
"Водный налог 5621 без НДС, ИНН 242536713882 без НДС",3
Возврат займа контрагенту 95533 Зеленый,5
Страховые взносы в ПФР по квитанции 20289 с НДС от 16.07.2024,3
"ОПЛАТА КОМАНДИРОВОЧНЫХ РАСХОДОВ 5985 (ОАО «Силина, Лыткина и Ильин») от 27.02.2025",5
ЕНВД ЗА ОТЧЕТНЫЙ ПЕРИОД 76493,3
ЕНВД за отчетный период 61338 Серый Ярко-розовый,3
Премия за работу 12.07.2024,5
Срочный: Перечисление средств по исп. документу 58794 о возмещении вреда жизни,1
Оплата хостинга за Июль 61131 без НДС Темный хаки Бледно-зеленый,5
Платежное поручение на налог на прибыль 83152,3
Оплата командировочных расходов 4663 (основание: договор 193) с НДС,5
"Срочный: Оплата услуг охраны 50524 Сливовый, ИНН 668876102002",5
Оплата услуг связи по договору 81441 (основание: договор 260) Пурпурный,5
"Оплата командировочных расходов 58881 без НДС, ИНН 382788200226",5
Срочный: Оплата банковских услуг 24461 с НДС,5
Пенсионные взносы за Июль 2023 20441 от 11.06.2024 без НДС,3
"Перечисление средств по исп. документу 77285 о возмещении вреда жизни от 26.10.2024, ИНН 672215794984",1
"Оплата услуг охраны 23995, ИНН 924827880586",5
"Перечисление за аренду офиса 98986, ИНН 770478410345",5
Оплата услуг охраны 50912 Аквамарин (основание: договор 610) Розовый,5
"ПЛАТЕЖ ЗА ЮРИДИЧЕСКИЕ УСЛУГИ 51416, ИНН 873080223329",5
Срочный: Водный налог 61986,3
Платеж за уборку помещений 99123,5
Возврат займа контрагенту 99885 (основание: договор 206),5
ПЛАТЕЖ ЗА УБОРКУ ПОМЕЩЕНИЙ 52408,5
Перечисление за аренду оборудования 56326 от 23.09.2024 (Бобров Лимитед),5
ЕНВД за отчетный период 49862 (основание: договор 140) с НДС,3
Платеж за уборку помещений 90247 (основание: договор 113),5
Срочный: Возмещение ущерба здоровью по исп. листу 8695 (АО «Титов-Морозов») от 28.10.2024,1
Страховые взносы в ПФР по квитанции 41426 (Концерн Автоматика) (ИП «Быков»),3
"Срочный: Срочный: Платеж за юридические услуги 41640 (ОАО «Кошелев, Терентьев и Лихачева»)",5
Компенсация морального вреда по решению суда 73485 (основание: договор 267),1
Перечисление по выставленному счету КПП 549229543,3
Налоговый платеж в бюджет РФ №26570 от 08.02.2025 (основание: договор 552) (основание: договор 195),3
СТРАХОВЫЕ ВЗНОСЫ В ПФР ПО КВИТАНЦИИ 48355 без НДС,3
Платеж за проведение тренинга 59440 (основание: договор 180) без НДС,5
НДС за 2 квартал 2023 74444 (ЗАО «Крюков»),3
Таможенные платежи по декларации 71597 (Гурьев Лтд) с НДС,3
Водный налог 46069 Античный Белый от 26.09.2024 без НДС,3
Перечисление НДФЛ за сотрудников по платежке 65317 (основание: договор 211),3
Перечисление за программное обеспечение 88608 (основание: договор 103),5
Взыскание алиментов по исп. листу 6147 от 25.07.2024,1
Перевод средств по накладной БИК 811569868 ОАО «Исаков»,5
Срочный: Платежное поручение на налог на прибыль 67299 Индиго (основание: договор 482),3
Платеж за юридические услуги 20542 Оранжевый Лазурный,5
Земельный налог 81721,3
БЛАГОТВОРИТЕЛЬНОЕ ПОЖЕРТВОВАНИЕ 19951,5
